12-08 16: 46: 52: Training starting...
Episode 0: Total Mean reward = -2.0, Mean Reward last 50 = -2.0, Epsilon = 1, best_rewards = -2.0
Episode 6450: Total Mean reward = 11.110370485196094, Mean Reward last 50 = 14.46, Epsilon = 0.01, best_rewards = 26.0
Episode 6500: Total Mean reward = 11.11767420396862, Mean Reward last 50 = 12.06, Epsilon = 0.01, best_rewards = 26.0
Episode 6550: Total Mean reward = 11.148679590902152, Mean Reward last 50 = 15.18, Epsilon = 0.01, best_rewards = 26.0
Episode 6600: Total Mean reward = 11.173458566883806, Mean Reward last 50 = 14.42, Epsilon = 0.01, best_rewards = 26.0
Episode 6650: Total Mean reward = 11.195459329424146, Mean Reward last 50 = 14.1, Epsilon = 0.01, best_rewards = 26.0
Episode 6700: Total Mean reward = 11.231010296970602, Mean Reward last 50 = 15.96, Epsilon = 0.01, best_rewards = 26.0
Episode 6750: Total Mean reward = 11.254628943860169, Mean Reward last 50 = 14.42, Epsilon = 0.01, best_rewards = 26.0
Episode 6800: Total Mean reward = 11.272606969563299, Mean Reward last 50 = 13.7, Epsilon = 0.01, best_rewards = 26.0
Episode 6850: Total Mean reward = 11.294555539337322, Mean Reward last 50 = 14.28, Epsilon = 0.01, best_rewards = 26.0
Episode 6900: Total Mean reward = 11.306477322127227, Mean Reward last 50 = 12.94, Epsilon = 0.01, best_rewards = 26.0
Episode 6950: Total Mean reward = 11.332470148180118, Mean Reward last 50 = 14.92, Epsilon = 0.01, best_rewards = 26.0
Episode 7000: Total Mean reward = 11.364519354377945, Mean Reward last 50 = 15.82, Epsilon = 0.01, best_rewards = 26.0
Episode 7050: Total Mean reward = 11.387179123528577, Mean Reward last 50 = 14.56, Epsilon = 0.01, best_rewards = 26.0
Episode 7100: Total Mean reward = 11.416983523447401, Mean Reward last 50 = 15.62, Epsilon = 0.01, best_rewards = 26.0
Episode 7150: Total Mean reward = 11.448049223884771, Mean Reward last 50 = 15.86, Epsilon = 0.01, best_rewards = 26.0
Episode 7200: Total Mean reward = 11.47479516733787, Mean Reward last 50 = 15.3, Epsilon = 0.01, best_rewards = 26.0
Episode 7250: Total Mean reward = 11.506826644600745, Mean Reward last 50 = 16.12, Epsilon = 0.01, best_rewards = 26.0
Episode 7300: Total Mean reward = 11.539104232296946, Mean Reward last 50 = 16.22, Epsilon = 0.01, best_rewards = 26.0
Episode 7350: Total Mean reward = 11.565093184600734, Mean Reward last 50 = 15.36, Epsilon = 0.01, best_rewards = 26.0
Episode 7400: Total Mean reward = 11.59248750168896, Mean Reward last 50 = 15.62, Epsilon = 0.01, best_rewards = 26.0
Episode 7450: Total Mean reward = 11.610253657227219, Mean Reward last 50 = 14.24, Epsilon = 0.01, best_rewards = 26.0
Episode 7500: Total Mean reward = 11.63498200239968, Mean Reward last 50 = 15.32, Epsilon = 0.01, best_rewards = 26.0
Episode 7550: Total Mean reward = 11.65421798437293, Mean Reward last 50 = 14.54, Epsilon = 0.01, best_rewards = 26.0
Episode 7600: Total Mean reward = 11.679647414813841, Mean Reward last 50 = 15.52, Epsilon = 0.01, best_rewards = 26.0
Episode 7650: Total Mean reward = 11.70448307410796, Mean Reward last 50 = 15.48, Epsilon = 0.01, best_rewards = 26.0
Episode 7700: Total Mean reward = 11.728606674457863, Mean Reward last 50 = 15.42, Epsilon = 0.01, best_rewards = 26.0
Episode 7750: Total Mean reward = 11.755644432976391, Mean Reward last 50 = 15.92, Epsilon = 0.01, best_rewards = 26.0
